claim_id,policy_id,claim_date,claim_type,claim_amount,status
CLM00188,POL00216,2025-10-03,Sinistre matériel,17509.07,Clos
CLM00189,POL00114,19/10/2024,Dégât des eaux,10948.88,Clos
CLM00190,POL00211,2025-04-13,Dégât des eaux,13706.96,Ouvert
CLM00191,POL00041,15/05/2023,Bris de glace,7350.42,En cours d'expertise
CLM00192,POL00008,2023-12-22,Sinistre corporel,15090.03,Clos
CLM00193,POL00093,12/02/2024,Vol,14849.59,En cours d'expertise
CLM00194,POL00175,2023-03-04,Vol,8874.84,Clos
CLM00195,POL00090,2024-12-06,Vol,13518.96,Clos
CLM00196,POL09050,2023-11-30,Sinistre corporel,15449.43,En cours d'expertise
CLM00197,POL00167,2025-04-18,Sinistre matériel,15583.64,En cours d'expertise
CLM00198,POL09933,2023-09-28,Sinistre corporel,97667.33,Clos
CLM00199,POL00182,17/07/2024,Dégât des eaux,15350.81,Ouvert
CLM00200,POL00174,2025-12-02,Dégât des eaux,149960.06,Clos
CLM00201,POL00153,01/06/2026,Vol,12366.77,Clos
CLM00202,POL00164,27/10/2024,Vol,11861.73,En cours d'expertise
CLM00203,POL00039,2025-11-25,Sinistre matériel,14526.92,En cours d'expertise
CLM00204,POL00082,2023-10-14,Sinistre matériel,11848.9,Clos
CLM00205,POL00104,2025-03-06,Sinistre matériel,10556.97,Ouvert
CLM00206,POL00183,2024-03-31,Bris de glace,11543.9,En cours d'expertise
CLM00207,POL00077,2023-12-15,Bris de glace,3383.28,Ouvert
CLM00208,POL00186,2026-02-18,Vol,11831.66,Ouvert
CLM00209,POL00079,11/05/2025,Vol,4800.98,Ouvert
CLM00210,POL00163,2026-04-10,Bris de glace,1421.2,En cours d'expertise
CLM00211,POL00175,2025-02-20,Vol,7523.96,Ouvert
CLM00212,POL00052,02/12/2024,Bris de glace,16087.29,Ouvert
CLM00213,POL00184,2024-01-05,Dégât des eaux,6087.44,Clos
CLM00214,POL00002,14/07/2025,Sinistre corporel,13737.3,Ouvert
CLM00215,POL00196,2023-06-30,Bris de glace,7891.75,Clos
CLM00216,POL00099,2023-01-10,Bris de glace,3709.54,Ouvert
CLM00217,POL00194,2025-12-23,Sinistre matériel,12229.95,Ouvert
CLM00218,POL00089,2024-10-01,Sinistre matériel,6996.38,Ouvert
CLM00219,POL00012,02/09/2024,Dégât des eaux,13141.8,Clos
CLM00220,POL00176,02/10/2023,Dégât des eaux,6562.63,Clos
CLM00221,POL09229,2023-09-26,Sinistre matériel,10676.02,Clos
CLM00222,POL00203,18/03/2023,Vol,13916.81,En cours d'expertise
CLM00223,POL00170,2023-08-10,Sinistre matériel,1011.0,Clos
CLM00224,POL00141,01/06/2024,Sinistre corporel,3818.08,Ouvert
CLM00225,POL00170,2023-07-26,Bris de glace,4969.09,Ouvert
CLM00226,POL00027,2025-11-13,Bris de glace,2251.56,Ouvert
CLM00227,POL00156,14/02/2024,Bris de glace,17520.19,Clos
CLM00228,POL00011,27/01/2026,Sinistre corporel,12434.44,Ouvert
CLM00229,POL09687,2023-07-02,Bris de glace,12092.04,Ouvert
CLM00230,POL00020,27/07/2023,Sinistre corporel,8303.01,Clos
CLM00231,POL00026,2023-12-24,Vol,6579.83,Clos
CLM00232,POL00025,2023-04-04,Sinistre corporel,11990.89,Clos
CLM00233,POL00160,2024-07-03,Sinistre matériel,6801.31,Ouvert
CLM00234,POL00117,10/07/2024,Dégât des eaux,14428.2,Ouvert
CLM00235,POL00179,2023-05-01,Sinistre matériel,7576.09,En cours d'expertise
CLM00236,POL00047,05/06/2026,Vol,,En cours d'expertise
CLM00237,POL00034,16/09/2025,Sinistre matériel,,Ouvert
CLM00238,POL00081,2023-01-26,Bris de glace,13850.39,En cours d'expertise
CLM00239,POL00172,2024-11-23,Bris de glace,12435.11,Clos
CLM00240,POL00064,13/09/2025,Dégât des eaux,2803.48,En cours d'expertise
CLM00241,POL00165,2023-11-18,Dégât des eaux,15355.9,Ouvert
CLM00242,POL00083,08/05/2024,Vol,1048.76,En cours d'expertise
CLM00243,POL00210,2024-04-26,Dégât des eaux,8078.77,Ouvert
CLM00244,POL00115,2024-10-09,Dégât des eaux,13452.52,Clos
CLM00245,POL00143,2026-01-29,Sinistre matériel,14283.33,En cours d'expertise
CLM00246,POL00131,2026-02-25,Dégât des eaux,17113.84,Ouvert
CLM00247,POL00217,19/07/2025,Bris de glace,13848.38,En cours d'expertise
CLM00248,POL00184,2025-07-15,Sinistre matériel,13703.86,Clos
CLM00249,POL00163,2024-08-20,Bris de glace,6823.94,Ouvert
CLM00250,POL00211,2025-04-18,Vol,11053.7,Clos
CLM00251,POL00212,2024-01-26,Vol,2073.62,En cours d'expertise
CLM00252,POL00151,10/09/2023,Dégât des eaux,11903.45,Ouvert
CLM00253,POL00002,2025-12-22,Sinistre matériel,10025.09,En cours d'expertise
CLM00254,POL00131,2023-12-29,Bris de glace,3249.66,Ouvert
CLM00255,POL00154,26/05/2026,Bris de glace,15882.82,En cours d'expertise
CLM00256,POL00196,23/05/2024,Dégât des eaux,17350.14,Clos
CLM00257,POL00036,2025-04-25,Bris de glace,5485.6,Clos
CLM00258,POL00142,2026-07-19,Sinistre corporel,3893.37,En cours d'expertise
CLM00259,POL00173,2023-09-29,Sinistre corporel,9144.5,Clos
CLM00260,POL00195,2024-12-22,Dégât des eaux,10553.09,En cours d'expertise
CLM00261,POL00192,29/12/2025,Dégât des eaux,14578.24,Ouvert
CLM00262,POL00014,2023-04-26,Vol,13540.8,Clos
CLM00263,POL00038,2023-05-08,Vol,3791.42,Clos
CLM00264,POL00027,2026-06-15,Bris de glace,15587.42,En cours d'expertise
CLM00265,POL00131,2024-08-12,Sinistre matériel,16687.75,En cours d'expertise
CLM00266,POL00142,2023-04-21,Vol,3775.11,Clos
CLM00267,POL00163,2025-01-23,Bris de glace,13331.33,En cours d'expertise
CLM00268,POL00076,2025-07-08,Sinistre matériel,3487.53,En cours d'expertise
CLM00269,POL00011,27/05/2025,Bris de glace,4866.68,Clos
CLM00270,POL09477,2023-11-14,Sinistre corporel,16726.01,En cours d'expertise
CLM00271,POL00170,08/09/2024,Bris de glace,9970.36,En cours d'expertise
CLM00272,POL00057,2024-01-12,Sinistre matériel,14184.71,En cours d'expertise
CLM00273,POL00024,2024-12-16,Sinistre corporel,11990.52,Clos
CLM00274,POL00193,2026-06-20,Dégât des eaux,17939.86,En cours d'expertise
CLM00275,POL09684,09/12/2024,Sinistre corporel,,En cours d'expertise
CLM00276,POL00011,19/10/2024,Sinistre matériel,7037.89,Clos
CLM00277,POL09529,2025-02-06,Bris de glace,8103.19,En cours d'expertise
CLM00278,POL00132,2023-06-18,Sinistre corporel,17493.57,En cours d'expertise
CLM00279,POL09067,2024-03-07,Sinistre corporel,15589.37,Ouvert
CLM00280,POL00213,2025-06-10,Sinistre matériel,13482.0,Clos
CLM00281,POL00010,2023-06-29,Sinistre matériel,3327.16,Ouvert
CLM00282,POL00059,13/06/2024,Dégât des eaux,8202.59,Clos
CLM00283,POL09689,2023-08-31,Sinistre matériel,11599.4,En cours d'expertise
CLM00284,POL00180,29/05/2023,Bris de glace,2044.52,Clos
CLM00285,POL00073,15/06/2025,Dégât des eaux,14824.88,Ouvert
CLM00286,POL00035,2025-03-11,Vol,17288.4,En cours d'expertise
CLM00287,POL00204,2025-02-03,Bris de glace,15764.59,Ouvert
CLM00288,POL09610,2025-03-18,Bris de glace,17053.58,En cours d'expertise
CLM00289,POL00186,2024-12-05,Dégât des eaux,16315.46,Ouvert
CLM00290,POL00057,17/06/2026,Sinistre corporel,2196.01,En cours d'expertise
CLM00291,POL00218,29/01/2026,Bris de glace,1455.63,Clos
CLM00292,POL00186,04/04/2026,Vol,6524.92,Ouvert
CLM00293,POL00159,2023-05-23,Vol,8822.62,En cours d'expertise
CLM00294,POL00150,2023-11-09,Bris de glace,6656.21,Clos
CLM00295,POL00081,2024-05-19,Dégât des eaux,5088.74,En cours d'expertise
CLM00296,POL00123,05/08/2025,Vol,13979.59,Ouvert
CLM00297,POL00156,17/06/2023,Sinistre corporel,16059.65,En cours d'expertise
CLM00298,POL00020,2023-06-04,Bris de glace,11424.53,En cours d'expertise
CLM00299,POL00152,2024-03-11,Bris de glace,4802.0,En cours d'expertise
CLM00300,POL00199,01/11/2023,Dégât des eaux,4136.02,En cours d'expertise
CLM00301,POL00035,2025-08-09,Bris de glace,1766.39,Ouvert
CLM00302,POL00218,2026-06-11,Sinistre corporel,13666.13,Ouvert
CLM00303,POL00145,2023-10-27,Dégât des eaux,16914.28,Clos
CLM00304,POL00068,2025-01-26,Sinistre matériel,12084.25,Clos
CLM00305,POL00117,2023-04-06,Vol,1992.57,En cours d'expertise
CLM00306,POL00214,2024-06-23,Bris de glace,10327.36,Clos
CLM00307,POL00168,2023-06-09,Vol,6867.47,En cours d'expertise
CLM00308,POL00210,07/12/2024,Dégât des eaux,141742.4,Clos
CLM00309,POL00020,2025-11-19,Vol,3925.58,Clos
CLM00310,POL00210,2023-08-31,Sinistre corporel,7550.85,Ouvert
CLM00311,POL00123,2025-09-08,Bris de glace,3028.25,Ouvert
CLM00312,POL00033,2026-03-20,Sinistre corporel,2554.82,En cours d'expertise
CLM00313,POL00043,2024-06-12,Bris de glace,17254.55,En cours d'expertise
CLM00314,POL00185,2024-08-03,Sinistre corporel,8168.28,Clos
CLM00315,POL00213,2025-04-21,Sinistre corporel,14333.9,Ouvert
CLM00316,POL00131,2024-06-25,Vol,16613.98,Ouvert
CLM00317,POL00099,2023-09-28,Sinistre matériel,3761.92,En cours d'expertise
CLM00318,POL00212,2023-11-03,Sinistre matériel,3316.99,En cours d'expertise
CLM00319,POL00201,2025-12-24,Sinistre matériel,1813.44,En cours d'expertise
CLM00320,POL00001,2025-06-02,Dégât des eaux,6761.24,En cours d'expertise
CLM00321,POL00206,14/09/2025,Vol,10664.51,En cours d'expertise
CLM00322,POL00109,02/10/2023,Dégât des eaux,,Ouvert
CLM00323,POL00140,16/04/2025,Sinistre corporel,247.63,Ouvert
CLM00324,POL00031,2025-11-30,Dégât des eaux,11833.65,Clos
CLM00325,POL00028,13/11/2023,Bris de glace,4677.34,Clos
CLM00326,POL00157,2024-07-18,Dégât des eaux,13626.25,En cours d'expertise
CLM00327,POL00095,2026-02-19,Dégât des eaux,4679.93,Clos
CLM00328,POL00102,2023-10-10,Sinistre matériel,13498.48,En cours d'expertise
CLM00329,POL00026,2024-03-15,Dégât des eaux,14181.55,En cours d'expertise
CLM00330,POL00181,2023-04-17,Dégât des eaux,86376.2,Ouvert
CLM00331,POL00154,2025-06-10,Sinistre matériel,4846.19,En cours d'expertise
CLM00332,POL00099,2025-03-31,Bris de glace,5263.48,Ouvert
CLM00333,POL00210,2023-12-25,Dégât des eaux,7985.65,En cours d'expertise
CLM00334,POL00133,2024-08-08,Sinistre matériel,14143.68,En cours d'expertise
CLM00335,POL00044,15/03/2023,Sinistre corporel,11842.09,Ouvert
CLM00336,POL00200,29/03/2025,Dégât des eaux,7387.3,Ouvert
CLM00337,POL00018,2023-07-04,Vol,13111.58,En cours d'expertise
CLM00338,POL00209,2024-07-20,Bris de glace,17340.57,Clos
CLM00339,POL00067,25/12/2023,Bris de glace,2050.4,Clos
CLM00340,POL00030,17/11/2025,Bris de glace,14664.68,En cours d'expertise
CLM00341,POL00097,27/02/2026,Sinistre corporel,13670.9,Clos
CLM00342,POL00151,26/02/2023,Sinistre matériel,4752.08,Ouvert
CLM00343,POL00059,08/10/2024,Vol,138252.39,Ouvert
CLM00344,POL00103,2024-12-01,Bris de glace,16775.42,Clos
CLM00345,POL00147,2024-07-05,Sinistre corporel,9057.14,En cours d'expertise
CLM00346,POL00068,2024-02-28,Sinistre corporel,15053.69,Clos
CLM00347,POL00028,2023-09-03,Dégât des eaux,11106.81,En cours d'expertise
CLM00348,POL00218,14/09/2025,Bris de glace,5780.19,En cours d'expertise
CLM00349,POL00126,2024-01-10,Vol,7252.15,Ouvert
CLM00350,POL00205,16/05/2025,Bris de glace,731.24,En cours d'expertise
CLM00351,POL00118,2023-09-04,Bris de glace,8362.26,Ouvert
CLM00352,POL00098,2026-04-04,Vol,6604.6,Ouvert
CLM00353,POL00061,05/07/2024,Bris de glace,6274.27,Clos
CLM00354,POL00180,01/02/2025,Dégât des eaux,5141.39,Ouvert
CLM00355,POL00176,2024-04-13,Vol,14502.96,Clos
CLM00356,POL00205,03/11/2023,Sinistre matériel,3302.44,En cours d'expertise
CLM00357,POL00185,08/10/2024,Vol,4629.89,Ouvert
CLM00358,POL00177,2023-12-01,Sinistre corporel,14676.65,En cours d'expertise
CLM00359,POL00191,16/11/2024,Vol,6581.47,Clos
CLM00360,POL00106,06/09/2023,Bris de glace,3701.4,En cours d'expertise
CLM00361,POL00200,05/08/2024,Vol,12166.49,En cours d'expertise
CLM00362,POL00021,2025-02-19,Vol,8427.97,Ouvert
CLM00363,POL00087,2025-05-13,Bris de glace,10353.73,Ouvert
CLM00364,POL00088,12/04/2024,Vol,11806.28,En cours d'expertise
CLM00365,POL00070,30/06/2025,Bris de glace,9448.7,Ouvert
CLM00366,POL00006,2023-09-14,Sinistre corporel,11967.1,En cours d'expertise
CLM00367,POL00054,08/12/2023,Sinistre matériel,1855.63,Clos
CLM00368,POL00007,2025-03-24,Sinistre matériel,2005.12,Ouvert
CLM00369,POL00100,2024-09-25,Sinistre corporel,13316.04,Ouvert
CLM00370,POL00215,2023-12-16,Sinistre matériel,11994.35,Clos
CLM00371,POL00120,12/01/2026,Bris de glace,8090.48,En cours d'expertise
CLM00372,POL00152,08/05/2026,Bris de glace,7914.35,En cours d'expertise
CLM00373,POL00089,2025-09-13,Sinistre corporel,14514.03,Clos
CLM00374,POL00040,2024-09-13,Sinistre matériel,9491.19,Ouvert
CLM00375,POL00121,2025-12-31,Dégât des eaux,17053.19,Ouvert
CLM00376,POL00205,2024-08-22,Sinistre corporel,14372.3,Ouvert
CLM00377,POL00144,14/06/2025,Sinistre corporel,3064.36,Clos
CLM00378,POL00057,2024-06-22,Dégât des eaux,11312.02,En cours d'expertise
CLM00379,POL00176,10/07/2024,Bris de glace,14587.23,Ouvert
