policy_id,client_id,country,product,premium_amount,currency,start_date,status
POL00042,CLI0068,CH,Auto,436.06,CHF,2022-03-20,Suspendue
POL00043,CLI0148,CH,Prévoyance,1525.78,CHF,25/01/2023,Active
POL00044,CLI0085,FR,Habitation,988.57,EUR,30/06/2025,Suspendue
POL00045,CLI0142,CH,Santé,1660.5,CHF,2022-09-18,Résiliée
POL00046,CLI0001,LU,Habitation,1546.44,EUR,15/09/2023,Active
POL00047,CLI0044,CH,Prévoyance,1160.76,CHF,2025-09-11,Résiliée
POL00048,CLI0058,CH,Auto,1996.9,CHF,2023-02-12,Active
POL00049,CLI0099,LU,Auto,1191.02,EUR,09/10/2024,Active
POL00050,CLI0133,FR,Auto,1908.09,EUR,2024-08-09,Suspendue
POL00051,CLI0144,FR,Prévoyance,476.01,EUR,04/05/2025,Résiliée
POL00052,CLI0067,LU,Prévoyance,2171.8,EUR,2026-03-20,Suspendue
POL00053,CLI0070,LU,Habitation,789.61,EUR,19/11/2023,Suspendue
POL00054,CLI0107,BE,Habitation,1030.34,EUR,14/04/2024,Suspendue
POL00055,CLI0006,FR,Habitation,2029.02,EUR,2026-04-17,Résiliée
POL00056,CLI0108,CH,Santé,1852.71,CHF,2025-01-07,Suspendue
POL00057,CLI0087,BE,Prévoyance,667.12,EUR,2025-10-01,Résiliée
POL00058,CLI0145,LU,Habitation,2357.2,EUR,2025-09-19,Active
POL00059,CLI0117,BE,Prévoyance,583.44,EUR,01/11/2023,Résiliée
POL00060,CLI0014,LU,Santé,2033.5,EUR,2023-12-18,Suspendue
POL00061,CLI0040,FR,Auto,2288.14,EUR,2023-05-04,Résiliée
POL00062,CLI0030,BE,Prévoyance,1732.81,EUR,2026-05-12,Résiliée
POL00063,CLI0051,FR,Santé,1458.27,EUR,2022-06-05,Suspendue
POL00064,CLI0031,BE,Auto,1727.77,EUR,2025-03-05,Résiliée
POL00065,CLI0126,CH,Auto,1303.23,CHF,05/08/2022,Résiliée
POL00066,CLI0070,LU,Habitation,1146.78,EUR,2025-06-15,Résiliée
POL00067,CLI0116,CH,Santé,2070.8,CHF,15/05/2023,Suspendue
POL00068,CLI0055,LU,Santé,243.71,EUR,28/12/2023,Résiliée
POL00069,CLI0105,CH,Auto,1326.91,CHF,2024-09-27,Active
POL00070,CLI0063,LU,Prévoyance,1940.31,EUR,2023-09-20,Suspendue
POL00071,CLI0117,CH,Prévoyance,2392.52,CHF,09/07/2023,Résiliée
POL00072,CLI0048,BE,Santé,445.41,EUR,2023-01-28,Suspendue
POL00073,CLI0078,CH,Auto,2028.43,CHF,2022-01-29,Suspendue
POL00074,CLI0126,FR,Auto,1408.46,EUR,2022-07-30,Suspendue
POL00075,CLI0123,LU,Prévoyance,936.37,EUR,2022-08-22,Résiliée
POL00076,CLI0064,FR,Habitation,511.22,EUR,2022-08-31,Résiliée
POL00077,CLI0110,BE,Prévoyance,1180.14,EUR,2023-09-18,Suspendue
POL00078,CLI0062,FR,Habitation,1568.64,EUR,2022-12-22,Active
POL00079,CLI0074,LU,Prévoyance,1710.4,EUR,18/12/2025,Suspendue
POL00080,CLI0051,FR,Habitation,2231.08,EUR,2024-05-20,Suspendue
POL00081,CLI0079,BE,Santé,2015.12,EUR,2025-05-03,Suspendue
POL00082,CLI0070,LU,Auto,1220.51,EUR,2024-10-21,Résiliée
POL00083,CLI0059,FR,Prévoyance,1810.67,EUR,2025-10-12,Suspendue
POL00084,CLI0114,CH,Auto,1874.1,CHF,2023-07-24,Suspendue
POL00085,CLI0027,LU,Auto,1223.42,EUR,26/11/2022,Résiliée
POL00086,CLI0081,CH,Prévoyance,1986.12,CHF,01/06/2023,Active
POL00087,CLI0049,LU,Auto,1640.01,EUR,27/11/2024,Suspendue
POL00088,CLI0113,,Auto,631.9,EUR,01/12/2025,Active
POL00089,CLI0105,BE,Habitation,,EUR,2022-07-10,Active
POL00090,CLI0070,FR,Habitation,1286.39,EUR,30/04/2024,Résiliée
POL00091,CLI0035,BE,Prévoyance,603.16,EUR,23/05/2022,Résiliée
POL00092,CLI0126,CH,Auto,807.9,CHF,01/11/2022,Suspendue
POL00093,CLI0062,CH,Prévoyance,1190.87,CHF,17/03/2025,Active
POL00094,CLI0098,LU,Auto,886.35,EUR,2024-03-01,Suspendue
POL00095,CLI0026,LU,Auto,460.27,EUR,2024-06-20,Suspendue
POL00096,CLI0121,FR,Habitation,1090.15,EUR,20/05/2026,Résiliée
POL00097,CLI0098,LU,Auto,2070.92,EUR,2023-10-11,Suspendue
POL00098,CLI0074,LU,Auto,1550.76,EUR,2023-04-11,Active
POL00099,CLI0012,FR,Auto,1164.97,EUR,2023-10-27,Résiliée
POL00100,CLI0047,LU,Habitation,722.12,EUR,2022-12-15,Active
POL00101,CLI0066,,Habitation,1284.82,EUR,30/07/2024,Suspendue
POL00102,CLI0089,LU,Santé,1684.3,EUR,18/04/2025,Suspendue
POL00103,CLI0124,CH,Prévoyance,2056.57,CHF,2022-08-07,Résiliée
POL00104,CLI0003,CH,Santé,228.71,CHF,2025-03-05,Suspendue
POL00105,CLI0057,LU,Santé,1902.14,EUR,2025-07-27,Suspendue
POL00106,CLI0113,BE,Auto,2185.56,EUR,2022-03-10,Résiliée
POL00107,CLI0139,FR,Santé,905.32,EUR,2024-01-20,Suspendue
POL00108,CLI0076,BE,Santé,2209.19,EUR,09/03/2026,Active
POL00109,CLI0102,FR,Habitation,1854.22,EUR,15/02/2025,Active
POL00110,CLI0068,FR,Santé,1371.19,EUR,12/04/2025,Suspendue
POL00111,CLI0084,FR,Habitation,1226.68,EUR,2025-06-03,Suspendue
POL00112,CLI0010,LU,Santé,1621.31,EUR,16/09/2023,Active
POL00113,CLI0139,BE,Prévoyance,1187.09,EUR,2024-05-08,Suspendue
POL00114,CLI0072,LU,Auto,2030.8,EUR,2022-03-09,Résiliée
POL00115,CLI0140,LU,Habitation,2079.1,EUR,13/08/2025,Active
POL00116,CLI0055,BE,Auto,2286.8,EUR,2025-08-07,Suspendue
POL00117,CLI0018,FR,Santé,720.72,EUR,2026-04-17,Active
POL00118,CLI0071,BE,Santé,1899.1,EUR,2022-10-24,Suspendue
POL00119,CLI0004,BE,Auto,,EUR,2024-01-04,Suspendue
POL00120,CLI0017,BE,Santé,296.33,EUR,02/09/2024,Résiliée
POL00121,CLI0134,FR,Prévoyance,1298.52,EUR,10/09/2023,Suspendue
POL00122,CLI0114,FR,Prévoyance,2061.0,EUR,2022-05-31,Résiliée
POL00123,CLI0084,FR,Habitation,790.54,EUR,2024-02-20,Suspendue
POL00124,CLI0142,LU,Auto,1940.67,EUR,2026-01-16,Résiliée
POL00125,CLI0025,BE,Prévoyance,932.43,EUR,03/10/2023,Résiliée
POL00126,CLI0022,CH,Habitation,1704.74,CHF,10/07/2022,Active
POL00127,CLI0085,CH,Habitation,1415.14,CHF,2025-10-04,Résiliée
POL00128,CLI0148,LU,Auto,2329.84,EUR,2024-11-05,Active
POL00129,CLI0072,BE,Auto,957.25,EUR,2025-03-21,Résiliée
POL00130,CLI0087,FR,Santé,244.28,EUR,2023-12-20,Active
POL00131,CLI0136,LU,Auto,494.96,EUR,17/03/2023,Résiliée
POL00132,CLI0022,BE,Santé,871.83,EUR,2022-04-18,Active
POL00133,CLI0114,FR,Auto,784.07,EUR,28/04/2024,Active
POL00134,CLI0125,FR,Santé,1134.41,EUR,2024-12-15,Résiliée
POL00135,CLI0036,LU,Auto,197.07,EUR,15/04/2026,Résiliée
POL00136,CLI0059,FR,Prévoyance,1838.37,EUR,2024-10-21,Suspendue
POL00137,CLI0020,FR,Prévoyance,-2093.12,EUR,2023-10-04,Résiliée
POL00138,CLI0084,LU,Santé,,EUR,2022-12-18,Résiliée
POL00139,CLI0103,CH,Auto,1149.5,CHF,2024-12-09,Résiliée
POL00140,CLI0030,CH,Habitation,919.41,CHF,2024-12-22,Active
POL00141,CLI0061,CH,Santé,1794.78,CHF,2022-07-30,Résiliée
POL00142,CLI0145,BE,Auto,573.26,EUR,2026-04-06,Résiliée
POL00143,CLI0078,CH,Santé,515.13,CHF,2023-07-17,Active
POL00144,CLI0095,FR,Santé,,EUR,2023-08-11,Suspendue
POL00145,CLI0011,FR,Prévoyance,1207.22,EUR,2024-07-10,Suspendue
POL00146,CLI0088,LU,Habitation,2306.14,EUR,2026-01-02,Suspendue
POL00147,CLI0041,FR,Habitation,1750.92,EUR,16/01/2024,Résiliée
POL00148,CLI0025,CH,Auto,1932.08,CHF,2025-02-16,Résiliée
POL00149,CLI0080,BE,Santé,360.93,EUR,2025-09-05,Suspendue
POL00150,CLI0033,FR,Santé,1420.81,EUR,2025-10-04,Suspendue
POL00151,CLI0080,FR,Prévoyance,,EUR,2023-01-05,Résiliée
POL00152,CLI0026,LU,Habitation,682.93,EUR,2024-11-05,Suspendue
POL00153,CLI0040,FR,Santé,2125.59,EUR,2022-11-29,Suspendue
POL00154,CLI0114,BE,Prévoyance,277.0,EUR,04/06/2025,Suspendue
POL00155,CLI0050,BE,Habitation,867.02,EUR,2024-01-24,Suspendue
POL00156,CLI0042,LU,Santé,1907.44,EUR,2023-02-13,Active
POL00157,CLI0133,FR,Prévoyance,2120.54,EUR,13/09/2022,Active
POL00158,CLI0057,CH,Prévoyance,2189.78,CHF,12/07/2024,Active
POL00159,CLI0008,LU,Santé,703.43,EUR,2023-10-15,Suspendue
POL00160,CLI0036,BE,Habitation,265.03,EUR,2026-04-04,Résiliée
POL00161,CLI0136,FR,Auto,222.19,EUR,2024-05-16,Résiliée
POL00162,CLI0017,FR,Auto,709.34,EUR,16/08/2022,Suspendue
POL00163,CLI0091,BE,Habitation,,EUR,2023-05-08,Résiliée
POL00164,CLI0130,FR,Santé,330.25,EUR,2025-02-08,Résiliée
POL00165,CLI0018,FR,Prévoyance,-2357.91,EUR,2023-12-08,Suspendue
POL00166,CLI0045,FR,Santé,476.17,EUR,2026-05-15,Résiliée
POL00167,CLI0118,LU,Habitation,1981.52,EUR,17/03/2022,Active
POL00168,CLI0140,BE,Auto,880.62,EUR,27/08/2024,Active
POL00169,CLI0085,BE,Santé,972.48,EUR,2023-07-14,Résiliée
POL00170,CLI0128,LU,Prévoyance,2166.1,EUR,18/11/2025,Résiliée
POL00171,CLI0047,CH,Auto,1794.12,CHF,22/01/2025,Résiliée
POL00172,CLI0114,CH,Santé,860.42,CHF,21/12/2023,Active
POL00173,CLI0020,CH,Prévoyance,789.51,CHF,2025-10-06,Résiliée
POL00174,CLI0009,BE,Auto,496.97,EUR,2022-09-16,Active
POL00175,CLI0116,CH,Santé,1029.94,CHF,30/01/2024,Résiliée
POL00176,CLI0030,BE,Santé,1063.64,EUR,2022-02-23,Active
POL00177,CLI0074,LU,Auto,761.14,EUR,22/11/2025,Active
POL00178,CLI0082,FR,Prévoyance,563.3,EUR,29/09/2025,Suspendue
POL00179,CLI0045,CH,Santé,2070.02,CHF,2024-01-11,Active
POL00180,CLI0147,BE,Habitation,705.55,EUR,26/01/2024,Suspendue
POL00181,CLI0135,FR,Auto,866.63,EUR,21/04/2024,Suspendue
POL00182,CLI0142,CH,Auto,1178.94,CHF,2025-08-03,Active
POL00183,CLI0133,BE,Prévoyance,1296.36,EUR,10/11/2022,Active
POL00184,CLI0021,BE,Santé,2283.41,EUR,2023-05-29,Suspendue
POL00185,CLI0044,CH,Habitation,1567.55,CHF,2025-04-27,Active
POL00186,CLI0012,CH,Auto,,CHF,2025-08-06,Résiliée
POL00187,CLI0078,LU,Auto,1285.64,EUR,2024-09-16,Suspendue
POL00188,CLI0119,LU,Auto,1708.72,EUR,22/02/2023,Suspendue
POL00189,CLI0144,CH,Santé,2345.33,CHF,06/08/2022,Active
POL00190,CLI0099,CH,Prévoyance,730.38,CHF,14/06/2025,Active
POL00191,CLI0041,BE,Santé,2252.93,EUR,2024-10-17,Résiliée
POL00192,CLI0062,CH,Prévoyance,231.45,CHF,2023-03-17,Résiliée
POL00193,CLI0074,CH,Prévoyance,1506.49,CHF,2025-01-04,Active
POL00194,CLI0146,CH,Santé,1875.76,CHF,2025-02-24,Résiliée
POL00195,CLI0031,FR,Prévoyance,1299.45,EUR,2022-09-21,Résiliée
POL00196,CLI0129,CH,Santé,1856.02,CHF,2022-03-24,Active
POL00197,CLI0036,CH,Prévoyance,1332.92,CHF,2023-11-03,Résiliée
POL00198,CLI0145,CH,Santé,1306.24,CHF,06/09/2023,Active
POL00199,CLI0007,FR,Prévoyance,1475.82,EUR,07/05/2025,Résiliée
POL00200,CLI0098,BE,Auto,1475.42,EUR,2022-10-30,Active
POL00201,CLI0053,FR,Habitation,222.04,EUR,2024-04-20,Suspendue
POL00202,CLI0123,FR,Habitation,1331.48,EUR,12/12/2024,Résiliée
POL00203,CLI0068,LU,Santé,1392.73,EUR,03/06/2025,Active
POL00204,CLI0074,CH,Santé,679.2,CHF,2025-12-14,Suspendue
POL00205,CLI0071,CH,Prévoyance,954.34,CHF,2023-08-13,Suspendue
POL00206,CLI0075,LU,Prévoyance,1996.8,EUR,28/03/2022,Suspendue
POL00207,CLI0070,LU,Santé,1839.09,EUR,2025-02-25,Résiliée
POL00208,CLI0060,BE,Habitation,292.7,EUR,2022-04-18,Résiliée
POL00209,CLI0041,LU,Auto,1692.25,EUR,2024-04-13,Résiliée
POL00210,CLI0023,BE,Santé,892.99,EUR,2025-08-28,Active
POL00211,CLI0010,FR,Habitation,1107.7,EUR,24/03/2024,Active
POL00212,CLI0086,CH,Auto,200.57,CHF,06/08/2023,Suspendue
POL00213,CLI0029,LU,Habitation,2069.35,EUR,2023-11-09,Suspendue
POL00214,CLI0050,CH,Habitation,211.27,CHF,2022-12-26,Suspendue
POL00215,CLI0036,,Santé,372.56,EUR,04/09/2024,Active
POL00216,CLI0150,LU,Habitation,1171.75,EUR,2026-01-20,Active
POL00217,CLI0104,CH,Habitation,317.92,CHF,2025-11-06,Suspendue
POL00218,CLI0123,FR,Santé,995.95,EUR,10/11/2022,Suspendue
POL00219,CLI0056,CH,Prévoyance,1738.31,CHF,2026-04-10,Suspendue
POL00220,CLI0029,FR,Prévoyance,1352.54,EUR,2022-05-07,Suspendue
POL00138,CLI0084,LU,Santé,,EUR,2022-12-18,Résiliée
POL00039,CLI0064,FR,Habitation,1815.17,EUR,2023-07-01,Suspendue
POL00043,CLI0148,CH,Prévoyance,1525.78,CHF,25/01/2023,Active
POL00084,CLI0114,CH,Auto,1874.1,CHF,2023-07-24,Suspendue
POL00219,CLI0056,CH,Prévoyance,1738.31,CHF,2026-04-10,Suspendue
